  OpticalGasVolume |     root | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
          Aluminum | OpticalGasVolume | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
      Scintillator |     root | 0.000000*cm -100.000000*cm 0.000000*cm | 0 0 0 |      Box | 200.0*cm 1.0*cm 200.0*cm  | 
         Aerogel_0 |     root | 0.000000*cm 100.000000*cm 0.000000*cm | 0 0 0 |      Box | 10.0*cm 1.0*cm 10.0*cm  | 
         MAPMT_400 |     root | 0.000000*cm 120.000000*cm 0.000000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_400 | MAPMT_400 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_400 | MAPMT_400 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_400 | MAPMT_400 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_400 | MAPMT_400 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_400 | MAPMT_400 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_400 | MAPMT_400 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_400 | MAPMT_400 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_401 |     root | 5.200000*cm 120.000000*cm 0.000000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_401 | MAPMT_401 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_401 | MAPMT_401 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_401 | MAPMT_401 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_401 | MAPMT_401 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_401 | MAPMT_401 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_401 | MAPMT_401 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_401 | MAPMT_401 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_402 |     root | 10.400000*cm 120.000000*cm 0.000000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_402 | MAPMT_402 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_402 | MAPMT_402 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_402 | MAPMT_402 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_402 | MAPMT_402 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
